"","individual","id","Ntot","N1","ND","N0","score","propscore","theta","se.theta","outfit","infit"
"1","2DLQNF",1,40,8,0,32,8.18,0.2045,-1.66243902370446,0.448601779120958,1.0857408641343,0.952629729593701
"2","2ELRUS",2,40,22,0,18,21.97,0.54925,0.293632787229645,0.358715598203161,1.33772393086081,1.21417300288932
"3","3VSBPG",3,41,19,0,22,19.0219512195122,0.4639500297442,-0.111345836054824,0.357153475075257,0.757755265560454,0.837118914321212
"4","5PSEPL",4,40,4,0,36,4.24,0.106,-2.58798496935155,0.564705079277098,0.919548802795502,0.940126544566563
"5","6A9RP5",5,40,8,0,32,8.18,0.2045,-1.64056781817041,0.447863640644599,2.22440271560757,1.58135746999718
"6","7ZGMMM",6,40,19,0,21,19.015,0.475375,-0.0915618575116866,0.359986879235287,1.04851461711638,1.0724698512341
"7","ATTJD5",7,40,18,0,22,18.03,0.45075,-0.196869317817766,0.363960521598372,0.990121649149585,1.02009519429205
"8","B3SXKQ",8,40,11,0,29,11.135,0.278375,-1.17475499530934,0.405658452708695,1.46973485161439,0.95711703935676
"9","D9QZAP",9,40,7,0,33,7.195,0.179875,-1.83392428138932,0.469786091049118,0.499917497292784,0.680100130359051
"10","EWXRWA",10,40,30,0,10,29.85,0.74625,1.36187128459933,0.393370468491144,1.12354932592626,0.968833814063899
"11","FW2NL5",11,41,12,0,29,12.1243902439024,0.295716835217133,-1.10462665722318,0.39769608042864,0.85166870958095,0.940369991112448
"12","FZ5SSR",12,40,25,0,15,24.925,0.623125,0.6658582880517,0.363513919310475,0.950396684439235,1.08960211234778
"13","GBFWXF",13,40,31,0,9,30.835,0.770875,1.51435005039525,0.404448062574571,2.05328662210421,1.18202285311757
"14","GPFLE3",14,40,34,0,6,33.79,0.84475,2.0127227110675,0.458868645629047,1.13842818004291,1.00164466579049
"15","GXBBXE",15,40,9,0,31,9.165,0.229125,-1.48897885371192,0.431913778163008,1.00399257849521,1.17545325152692
"16","HP5FJM",16,40,18,0,22,18.03,0.45075,-0.129390798335412,0.36052025541672,0.896803239234652,0.953382957475769
"17","HXKKYH",17,40,26,0,14,25.91,0.64775,0.809030411829631,0.367106463864729,0.950092429037907,1.03739237572966
"18","JPLJMG",18,40,20,0,20,20,0.5,0.102744386711214,0.35815961648372,0.74188605636827,0.856263572118154
"19","K666ZB",19,40,27,0,13,26.895,0.672375,0.926431211260336,0.371655990662183,1.16870144266967,1.01244453782823
"20","KA7QET",20,40,26,0,14,25.91,0.64775,0.797241773294828,0.367097750485153,0.941047321745045,1.02502169104355
"21","KAQDP6",21,40,21,0,19,20.985,0.524625,0.22262508498319,0.357424310339923,1.31154036370922,1.1200882497389
"22","KNRAC5",22,41,30,0,11,29.8609756097561,0.728316478286734,1.24952150482329,0.381311316858859,0.576070928441211,0.762181061621348
"23","LH7GCM",23,40,11,0,29,11.135,0.278375,-1.08795805864805,0.405238843404527,0.686413039772309,0.787822311374062
"24","LXWSDB",24,40,7,0,33,7.195,0.179875,-1.92396736111635,0.464483382892601,1.32327849071802,0.940044896982557
"25","NRHLWZ",25,40,15,0,25,15.075,0.376875,-0.51246875673659,0.372847002472493,0.735574386231149,0.84108087574233
"26","PVTCYX",26,40,20,0,20,20,0.5,-0.0100368371811443,0.361772891731928,0.93472992460805,0.808923334016475
"27","QEDY2Q",27,40,26,0,14,25.91,0.64775,0.846746799558299,0.36435307161857,0.725137499785161,0.855233907418957
"28","RA6CY5",28,39,25,0,14,24.9153846153846,0.638856015779093,0.7170269578349,0.370868768431294,0.681827836908072,0.818492359817637
"29","RHTKF7",29,39,27,0,12,26.8846153846154,0.689349112426035,0.964173643033796,0.378784691443116,0.981190228667269,1.08518844078551
"30","SSR2GF",30,40,33,0,7,32.805,0.820125,1.81513520503693,0.436503081587056,0.611910694491529,0.858192596484824
"31","SYRK9H",31,40,12,0,28,12.12,0.303,-1.00121942830324,0.397803053955548,0.815287544072543,0.82966000081907
"32","TZ3P7X",32,41,25,0,16,24.9341463414634,0.6081499107674,0.634299833768587,0.356137850192793,1.17471282048586,1.18048449719162
"33","UP9CRQ",33,40,22,0,18,21.97,0.54925,0.307812704629757,0.357993943828336,0.897536673443797,0.988665342573198
"34","USD3FM",34,40,22,0,18,21.97,0.54925,0.352916370993239,0.356235226180674,0.805453710315534,0.875761506670514
"35","USXLHX",35,39,26,0,13,25.9,0.664102564102564,0.918776115379213,0.372716579276639,0.798419703814603,0.949238301180693
"36","UZ5JXP",36,39,25,0,14,24.9153846153846,0.638856015779093,0.687413526808443,0.368033310250917,1.10913762747419,1.14347189357057
"37","VAUF6Z",37,40,24,0,16,23.94,0.5985,0.556123341663143,0.361282647353784,0.892916222463456,1.00153516803102
"38","VKSDGA",38,40,2,0,38,2.27,0.05675,-3.30268227462952,0.715192429557629,0.317939170962593,0.854896026082619
"39","W6AQFG",39,40,20,0,20,20,0.5,0.0724113109612616,0.360134888872051,0.898286492542985,0.935293179915949
"40","WP75QJ",40,40,24,0,16,23.94,0.5985,0.659977145905602,0.353807055680162,0.867202572246185,0.936211017121106
"41","XFDS9L",41,40,19,0,21,19.015,0.475375,-0.00894912030260656,0.358506464469001,0.878319517390945,0.961976885595721
"42","XKYK63",42,40,30,0,10,29.85,0.74625,1.38088379567827,0.391863844032591,1.24741656191627,1.03103803874974
